NO,課程碼,主開課程碼,開課單位,科目名稱,學分,選別,期次,授課教師/專長,授課語言,週別,星期,節次,教室,週別,星期,節次,教室,週別,星期,節次,教室,是否開放大四生上修,備註,可選課年級／分發優先順序,課程人數／屬性資料,通識領域／學群,是否開放選課條,大綱
40,D020003958,,歷史系,先秦史 Pre-Chin History,2.00,選,學年,陳君愷 專長： 臺灣史、中國史、先秦史、宋史、思想史、科學史、史學方法、歷史哲學,中文,全,五(Fri),D7-D8,LI206,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 48 外系： 3 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
41,D020004513,,歷史系,中國新聞史 History of Chinese Press,2.00,選,學年,高郁雅 專長： 中國近現代、中國新聞史近代中國政治史、社會文化、婦女問題,中文,全,五(Fri),D3-D4,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
42,D020007507,,歷史系,日本近現代史 A History of Modern Japan,2.00,選,學期,林呈蓉 專長： 日治時期臺灣史、中日關係史、東亞國際關係研究,中文,全,四(Thu),D1-D2,LI206,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 48 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
43,D020007763,,歷史系,中國基督宗教史 History of Christianity in China,2.00,選,學期,曾慶豹 專長： 宗教哲學、基督宗教神學、政治哲學、詮釋學、中國基督宗教史,中文,全,一(Mon),D5-D6,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
44,D020010679,,歷史系,當代思潮與西方史學 Contemporary Thought and Westen Historiography,2.00,選,學年,周雪舫 專長： 俄國史、史學理論、當代思潮、世界現代史,中文,全,二(Tue),D7-D8,LI206,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 48 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
45,D020015833,,歷史系,台灣社會史 Social History of Taiwan,2.00,選,學年,許毓良 專長： 清代軍事史、清代社會史、臺灣史,中文,全,四(Thu),D5-D6,LI400,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
46,D020017547,,歷史系,西洋軍事史 History of Western Military,2.00,選,學年,陳君愷 專長： 臺灣史、中國史、先秦史、宋史、思想史、科學史、史學方法、歷史哲學,中文,全,四(Thu),D5-D6,LI203,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
47,D020019057,,歷史系,冷戰史 History of Cold War,2.00,選,學期,蕭道中 專長： 世界現代史、冷戰史、歐洲史、國際關係史,中文,全,五(Fri),D1-D2,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
48,D020019214,,歷史系,歷史英文 English for Historical Study 英-專業,2.00,選,學年,米丹尼 專長： 中國清代史、中國邊境史、中國與中亞關係史、英文學術寫作,全英文,全,三(Wed),D3-D4,LI203,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
49,D020020388,,歷史系,博物館展覽實作 Museum Exhibition:  Design and Installation,2.00,選,學期,黎世輝 專長： 博物館策展理論與規劃、博物館與公共史學、地方博物館、文化政策與理論,中文,全,五(Fri),D3-D4,LI202,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
50,D020020987,,歷史系,中華人民共和國史 History of People's Republic of China,2.00,選,學期,克思明 專長： 中國現代史、中國共產主義運動史、國共關係史、兩岸關係史,中文,全,二(Tue),D3-D4,LI200,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
51,D020023649,,歷史系,歐洲經濟史 Economic History of Europe,2.00,選,學年,郭容吟 專長： 法國經濟史、歐洲經濟史、歐洲近現代史,中文,全,四(Thu),D5-D6,LI204,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
52,D020023765,,歷史系,現代中東的成形與發展 The Formation of the Modern Middle East,2.00,選,學期,陳立樵 專長： 20世紀初期英國與伊朗外交關係、現代西方與中東關係,中英文,全,五(Fri),D3-D4,LI206,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
53,D020030180,,歷史系,美國史閱讀與討論 Reading and Discussion on United States History 英-專業,2.00,選,學年,米丹尼 專長： 中國清代史、中國邊境史、中國與中亞關係史、英文學術寫作,全英文,全,四(Thu),D3-D4,LI206,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
54,D020031049,,歷史系,臺灣涉外關係史 History of Taiwan's Foreign Relations,2.00,選,學期,許峰源 專長： 台灣史、醫療公衛史、中外關係史、海洋文明史,中文,全,一(Mon),D5-D6,LI400,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
55,D020031675,,歷史系,中國社會史專題 The Case Study of Chinese Social History,2.00,選,學期,鄭丞良 專長： 宋史,中文,全,一(Mon),D3-D4,LI206,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
56,D020032598,,歷史系,歷史知識論 Epistemology of History,2.00,選,學期,陳君愷 專長： 臺灣史、中國史、先秦史、宋史、思想史、科學史、史學方法、歷史哲學,中文,全,五(Fri),D5-D6,LI206,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 48 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
57,D020033633,,歷史系,南北朝史專題 Seminar in History of Southern & Northern Dynasties,2.00,選,學期,陳識仁 專長： 魏晉南北朝史、中國歷史地理、中國城市史、中國中古史學史,中文,全,四(Thu),D5-D6,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
58,D020034353,,歷史系,二十世紀德國社會專題 German Society in the Twentieth Century,2.00,選,學期,伍碧雯 專長： 德國現代史、歐洲種族主義,中文,全,三(Wed),D3-D4,LI204,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
